"numero_dpe","date_derniere_modification_dpe","date_visite_diagnostiqueur","date_etablissement_dpe","date_reception_dpe","date_fin_validite_dpe","numero_dpe_remplace","numero_dpe_immeuble_associe","id_rnb","provenance_id_rnb","numero_rpls_logement","numero_immatriculation_copropriete","modele_dpe","version_dpe","methode_application_dpe","etiquette_dpe","etiquette_ges","type_batiment","annee_construction","periode_construction","type_installation_chauffage","type_installation_ecs","hauteur_sous_plafond","nombre_appartement","nombre_niveau_immeuble","nombre_niveau_logement","typologie_logement","appartement_non_visite","surface_habitable_immeuble","surface_habitable_logement","surface_tertiaire_immeuble","classe_inertie_batiment","classe_altitude","zone_climatique","adresse_ban","numero_voie_ban","nom_rue_ban","nom_commune_ban","code_postal_ban","code_insee_ban","code_departement_ban","code_region_ban","identifiant_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","score_ban","statut_geocodage","adresse_brut","adresse_complete_brut","nom_commune_brut","code_postal_brut","numero_etage_appartement","position_logement_dans_immeuble","nom_residence","complement_adresse_batiment","complement_adresse_logement","indicateur_confort_ete","protection_solaire_exterieure","logement_traversant","presence_brasseur_air","inertie_lourde","isolation_toiture","deperditions_enveloppe","deperditions_ponts_thermiques","deperditions_murs","deperditions_planchers_hauts","deperditions_planchers_bas","deperditions_portes","deperditions_baies_vitrees","deperditions_renouvellement_air","qualite_isolation_enveloppe","qualite_isolation_murs","qualite_isolation_plancher_haut_comble_amenage","qualite_isolation_plancher_haut_comble_perdu","qualite_isolation_plancher_haut_toit_terrasse","qualite_isolation_plancher bas","qualite_isolation_menuiseries","ubat_w_par_m2_k","besoin_chauffage","besoin_ecs","besoin_refroidissement","apport_interne_saison_chauffe","apport_interne_saison_froide","apport_solaire_saison_chauffe","apport_solaire_saison_froide","conso_5_usages_ep","conso_5_usages_par_m2_ep","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","conso_5 usages_ef","conso_5 usages_par_m2_ef","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","emission_ges_5_usages","emission_ges_5_usages par_m2","emission_ges_chauffage","emission_ges_ecs","emission_ges_refroidissement","emission_ges_eclairage","emission_ges_auxiliaires","type_energie_n1","conso_5 usages_ef_energie_n1","conso_chauffage_ef_energie_n1","conso_ecs_ef_energie_n1","cout_total_5_usages_energie_n1","cout_chauffage_energie_n1","cout_ecs_energie_n1","emission_ges_5_usages_energie_n1","emission_ges_chauffage_energie_n1","emission_ges_ecs_energie_n1","type_energie_n2","conso_5 usages_ef_energie_n2","conso_chauffage_ef_energie_n2","conso_ecs_ef_energie_n2","cout_total_5_usages_energie_n2","cout_chauffage_energie_n2","cout_ecs_energie_n2","emission_ges_5_usages_energie_n2","emission_ges_chauffage_energie_n2","emission_ges_ecs_energie_n2","type_energie_n3","conso_5_usages_ef_energie_n3","conso_chauffage_ef_energie_n3","conso_ecs_ef_energie_n3","cout_total_5_usages energie_n3","cout_chauffage_energie_n3","cout_ecs_energie_n3","emission_ges_5_usages_energie_n3","emission_ges_chauffage_energie_n3","emission_ges_ecs_energie_n3","cout_total_5_usages","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_energie_principale_chauffage","type_generateur_chauffage_principal","type_installation_chauffage_n1","type_emetteur_installation_chauffage_n1","configuration_installation_chauffage_n1","description_installation_chauffage_n1","conso_chauffage_installation_chauffage_n1","surface_chauffee_installation_chauffage_n1","facteur_couverture_solaire_installation_chauffage_n1","facteur_couverture_solaire_saisi_installation_chauffage_n1","type_generateur_n1_installation_n1","type_energie_generateur_n1_installation_n1","usage_generateur_n1_installation_n1","description_generateur_chauffage_n1_installation_n1","conso_chauffage_generateur_n1_installation_n1","type_generateur_n2_installation_n1","type_energie_generateur_n2_installation_n1","usage_generateur_n2_installation_n1","description_generateur_chauffage_n2_installation_n1","conso_chauffage_generateur_n2_installation_n1","type_installation_chauffage_n2","type_emetteur_installation_chauffage_n2","configuration_installation_chauffage_n2","description_installation_chauffage_n2","conso_chauffage_installation_chauffage_n2","surface_chauffee_installation_chauffage_n2","facteur_couverture_solaire_installation_chauffage_n2","facteur_couverture_solaire_saisi_installation_chauffage_n2","type_generateur_n1_installation_n2","type_energie_generateur_n1_installation_n2","usage_generateur_n1_installation_n2","description_generateur_chauffage_n1_installation_n2","conso_chauffage_generateur_n1_installation_n2","type_generateur_n2_installation_n2","type_energie_generateur_n2_installation_n2","usage_generateur_n2_installation_n2","description_generateur_chauffage_n2_installation_n2","conso_chauffage_generateur_n2_installation_n2","type_energie_principale_ecs","type_generateur_chauffage_principal_ecs","besoin_ecs_batiment","besoin_ecs_logement","type_installation_ecs_n1","configuration_installation_ecs_n1","description_installation_ecs_n1","conso_ef_installation_ecs_n1"," nombre_logements_desservis_par_installation_ecs_n1","surface_habitable_desservie_par_installation_ecs_n1","type_installation_solaire_n1","production_ecs_solaire_installation_n1","facteur_couverture_solaire_n1","facteur_couverture_solaire_saisi_n1","type_generateur_n1_ecs_n1","type_energie_generateur_n1_ecs_n1","usage_generateur_n1_ecs_n1","description_generateur_n1_ecs_n1","volume_stockage_generateur_n1_ecs_n1","cop_generateur_n1_ecs_n1","conso_ef_generateur_n1_ecs_n1","date_installation_generateur_n1_ecs_n1","type_generateur_n2_ecs_n1","type_energie_generateur_n2_ecs_n1","usage_generateur_n2_ecs_n1","description_generateur_n2_ecs_n1","volume_stockage_generateur_n2_ecs_n1","cop_generateur_n2_ecs_n1","conso_ef_generateur_n2_ecs_n1","date_installation_generateur_n2_ecs_n1","type_ventilation","surface_ventilee","ventilation_posterieure_2012","type_generateur_froid","type_energie_climatisation","periode_installation_generateur_froid","description_generateur_froid","surface_climatisee","conso_refroidissement_annuel","categorie_enr","systeme_production_electricite_origine_renouvelable","presence_production_pv","surface_totale_capteurs_pv","nombre_module","production_electricite_pv_kwhep_par_an","electricite_pv_autoconsommee"
"2611E0031228S","2026-01-07","2026-01-05","2026-01-07","2026-01-07","2036-01-06",,,,,,,"DPE 3CL 2021 méthode logement",2.6,"dpe immeuble collectif","C","A","immeuble",,"2001-2005","individuel","individuel",2.5,26,4,,,,1363.5,,,"Moyenne","inférieur à 400m","H3","25 Rue de Belfort 11000 Carcassonne","25","Rue de Belfort","Carcassonne","11000","11069","11","76","11069_0550_00025",647889.49,6235475.96,0.66,"adresse géocodée ban à l'adresse","25 Rue de Belfort
JARDINS DES REMPARTS I","25 Rue de Belfort
JARDINS DES REMPARTS I 11000 CARCASSONNE","CARCASSONNE",11000,0,,,"DIA-JME1-2512-023",,,,,,,,2188.2,454.4,593,83.5,254.1,13.7,28.6,760.9,"bonne","moyenne",,"moyenne",,"moyenne","très bonne",0.62,49843.2,25462.3,0,34337.2,0,3016,0,190495.2,139,90006.1,82628.5,0,4915.9,12944.7,100260.6,73,47371.6,43488.7,0,2587.3,6813,7183.7,5,3742.4,2826.8,0,178.5,436,"Électricité",100260.6,47371.6,43488.7,23106.4,10917.4,10022.5,7183.7,3742.4,2826.8,,,,,,,,,,,,,,,,,,,,,23106.4,10917.4,10022.5,0,596.3,1570.1,"Électricité","radiateur électrique NFC, NF** et NF***","installation individuelle","radiateur électrique NFC, NF** et NF***","Installation de chauffage simple","Radiateur électrique NFC, NF** et NF*** avec programmateur avec réduit (système individuel)",1822,454.5,,,"radiateur électrique NFC, NF** et NF***","Électricité","chauffage","Electrique - Radiateur électrique à inertie (modélisé comme un radiateur NFC, NF** et NF***)",1822,,,,,,"installation individuelle","radiateur électrique NFC, NF** et NF***","Installation de chauffage simple","Radiateur électrique NFC, NF** et NF*** avec programmateur avec réduit (système individuel)",1822,454.5,,,"radiateur électrique NFC, NF** et NF***","Électricité","chauffage","Electrique - Radiateur électrique à inertie (modélisé comme un radiateur NFC, NF** et NF***)",1822,,,,,,"Électricité","Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles",,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (catégorie B ou 2 étoiles), contenance ballon 150 L",1720.8,1,454.5,"Non affecté",,,,"Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (catégorie B ou 2 étoiles)",188.4,,1720.8,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2659E0039476U","2026-01-07","2023-01-12","2026-01-07","2026-01-07","2036-01-06",,,,,,,"DPE 3CL 2021 méthode logement",2.6,"dpe appartement individuel","C","C","appartement",1970,"1948-1974","collectif","collectif",2.5,1,,1,,,6906,9.8,,"Lourde","inférieur à 400m","H1a","Rue Alexandre Desrousseaux (Lomme) 59000 Lille",,"Rue Alexandre Desrousseaux (Lomme)","Lille","59000","59350","59","32","59355_0075",700388.61,7059136.91,0.74,"adresse géocodée ban à l'adresse","RESIDENCE DU BEFFROI 4 RUE ALEXANDRE DESROUSSEAUX LOT 822","RESIDENCE DU BEFFROI 4 RUE ALEXANDRE DESROUSSEAUX LOT 822 59000 LILLE","LILLE",59000,0,,,"BRICE LOT 822 120122","Etage : 2ème 822","moyen",0,0,0,1,0,25.1,2.1,8.8,0,0,0,9.7,4.6,"insuffisante","insuffisante",,"très bonne",,"très bonne","insuffisante",2.37,802.1,654.6,0,550.9,0,129.1,0,2743.1,281,1007.6,1398.8,0,35,301.6,2583.6,264,1007.6,1398.8,0,18.4,158.7,247.3,25,98.7,137.1,0,1.3,10.2,"Réseau de Chauffage urbain",2406.4,1007.6,1398.8,214.7,89.9,124.8,235.8,98.7,137.1,"Électricité",177.2,0,0,38.3,0,0,11.4,0,0,,,,,,,,,,,252.9,89.9,124.8,0,6.4,31.9,"Réseau de Chauffage urbain","Réseau de chaleur isolé","installation collective","Plancher chauffant sur réseau collectif eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","Réseau de chaleur isolé régulée, réseau isolé (système collectif). Emetteur(s): plancher chauffant",1007.6,9.8,,,"Réseau de chaleur isolé","Réseau de Chauffage urbain","chauffage + ecs","Réseau de chaleur isolé",1007.6,,,,,,,,,,,,,,,,,,,,,,,,"Réseau de Chauffage urbain","Réseau de chaleur isolé",,,"installation collective","Un seul système d'ECS sans solaire","Combiné au système de chauffage",1398.8,1,9.8,"Non affecté",,,,"Réseau de chaleur isolé","Réseau de Chauffage urbain","chauffage + ecs","Réseau de chaleur isolé",0,,1398.8,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2606E0017721A","2026-01-05","2025-10-08","2026-01-05","2026-01-05","2036-01-04",,"2606E0017690V",,,,,"DPE 3CL 2021 méthode logement",2.6,"dpe appartement généré à partir des données DPE immeuble","C","C","appartement",,"2013-2021","collectif","collectif",2.5,24,3,1,,1,1547.4,49.4,,"Légère","inférieur à 400m","H3","255 Avenue de Peygros 06530 Peymeinade","255","Avenue de Peygros","Peymeinade","06530","06095","06","93","06095_0396_00255",1013651.91,6288465.36,0.97,"adresse non géocodée ban car aucune correspondance trouvée","255 AVENUE DE PEYGROS","255 AVENUE DE PEYGROS 06530 PEYMEINADE","PEYMEINADE",6530,0,,,"002EW662687","18",,,,,,,1959.6,498.7,238.4,65.8,124.1,0,364.1,668.5,"bonne","très bonne",,,"très bonne","bonne","très bonne",0.57,32148.8,25176.3,0,36938,0,37258.9,0,3263.7,66,1327.3,1442.7,0,177.9,315.8,3029.9,61,1327.3,1442.7,0,93.6,166.2,645.9,13,301.3,327.5,0,6.5,10.6,"Gaz naturel",2770,1327.3,1442.7,266.1,127.5,138.6,628.8,301.3,327.5,"Électricité",259.9,0,0,69.1,0,0,17.1,0,0,,,,,,,,,,,335.2,127.5,138.6,0,32.5,36.6,"Gaz naturel",,"installation collective","Radiateur bitube avec robinet thermostatique sur réseau collectif eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","Chaudière collective gaz à condensation installée entre 2001 et 2015 avec équipement d'intermittence central collectif, réseau isolé. Emetteur(s): radiateur bitube avec robinet thermostatique",42551.1,1547.4,,,"Chaudière gaz à condensation 2001-2015","Gaz naturel","chauffage + ecs","Gaz Naturel - Chaudière gaz à condensation installée entre 2001 et 2015",42551.1,,,,,,,,,,,,,,,,,,,,,,,,"Gaz naturel",,,,"installation collective","Un seul système d'ECS avec solaire","Combiné au système de chauffage, contenance ballon 2000 L, couplé avec un système solaire",37839.7,1,1547.4,"ECS solaire seule sup 5 ans",25226493.8,0.4,,"Chaudière gaz à condensation 2001-2015","Gaz naturel","chauffage + ecs","Gaz Naturel - Chaudière gaz à condensation installée entre 2001 et 2015",2000,,37839.7,,,,,,,,,,,,0,,,,,,,"panneaux solaires thermiques",,,,,0,
"2675E0004081B","2026-01-02","2025-07-01","2026-01-02","2026-01-02","2036-01-01","2575E2183562F","2675E0004013L",,,,,"DPE 3CL 2021 méthode logement",2.6,"dpe appartement généré à partir des données DPE immeuble","E","D","appartement",,"avant 1948","collectif","individuel",2.5,195,6,1,,1,7089.1,27.7,,"Lourde","inférieur à 400m","H1a","62 Rue du Dessous des Berges 75013 Paris","62","Rue du Dessous des Berges","Paris","75013","75113","75","11","75113_2756_00062",654022.35,6858819.47,0.78,"adresse géocodée ban à l'adresse","BAT 2/ 62 RUE REGNAULT - 7/11 RUE DU DESSOUS DES BERGES","BAT 2/ 62 RUE REGNAULT - 7/11 RUE DU DESSOUS DES BERGES 75013 PARIS 13","PARIS 13",75013,0,,,"250701STH_ELOGIE_PARIS 1329698","Batiment 01053001010112",,,,,,,23904,2148,11877.2,1080.4,322.5,0,73.4,8402.5,"insuffisante","insuffisante",,"insuffisante",,"insuffisante","moyenne",1.99,1153265.1,190733,0,263865.1,0,4055.7,0,8862.4,319,5910.3,2626.2,0,99.5,226.4,7464,269,5910.3,1382.2,0,52.4,119.2,1176.8,42,1075.7,89.8,0,3.6,7.6,"Réseau de Chauffage urbain",5910.3,5910.3,0,527.3,527.3,0,1075.7,1075.7,0,"Électricité",1553.7,0,1382.2,454,0,414.2,101.1,0,89.8,,,,,,,,,,,981.3,527.3,414.2,0,15.7,24.1,"Réseau de Chauffage urbain",,"installation collective","Radiateur monotube avec robinet thermostatique sur réseau collectif eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","Réseau de chaleur vertueux isolé avec équipement d'intermittence central collectif. Emetteur(s): radiateur monotube avec robinet thermostatique",8618.8,7089.1,,,"Réseau de chaleur isolé","Réseau de Chauffage urbain","chauffage","Réseau de chaleur isolé",8618.8,,,,,,,,,,,,,,,,,,,,,,,,"Électricité",,,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (catégorie B ou 2 étoiles), contenance ballon 100 L",1691.4,1,708.9,"Non affecté",,,,"Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (catégorie B ou 2 étoiles)",100,,1691.4,,,,,,,,,,,,0,,,,,,,"réseau de chaleur ou de froid vertueux",,,,,0,
"2633E0007887V","2026-01-05","2025-12-22","2026-01-05","2026-01-05","2036-01-04",,,"YA75WSEYGFGK","Logiciel",,,"DPE 3CL 2021 méthode logement",2.6,"dpe maison individuelle","C","A","maison",,"1978-1982",,,2.5,,,2,,,,88.7,,"Légère","inférieur à 400m","H2c","Fleur 33490 Saint-Maixant",,"Fleur","Saint-Maixant","33490","33438","33","75","33438_b1r8ky",441970.39,6391035.24,0.42,"adresse géocodée ban à l'adresse","9 Quartier Fleur","9 Quartier Fleur 33490 ST MAIXANT","ST MAIXANT",33490,0,,,"BILLION/25/1979","Maison 2 niveaux","moyen",1,1,0,0,1,276.5,20.6,53.5,41.9,28.1,5.9,41.1,85.3,"moyenne","moyenne",,,"insuffisante","insuffisante","moyenne",0.71,9817.6,1118.3,714.8,2222.7,108.7,2555.6,440,12553.2,141,8176.2,3906.7,137.9,332.3,0,6606.9,74,4303.3,2056.2,72.6,174.9,0,490.3,5,340,133.7,4.6,12.1,0,"Électricité",6606.9,4303.3,2056.2,1422.3,926.4,442.6,490.3,340,133.7,,,,,,,,,,,,,,,,,,,,,1422.3,926.4,442.6,15.6,37.7,0,"Électricité",,"installation individuelle","radiateur électrique NFC, NF** et NF***","Installation de chauffage simple","Radiateur électrique NFC, NF** et NF*** (système individuel)",2365.5,25,,,"radiateur électrique NFC, NF** et NF***","Électricité","chauffage","Electrique - Radiateur électrique à inertie (modélisé comme un radiateur NFC, NF** et NF***)",2365.5,,,,,,"installation individuelle","Soufflage d'air chaud (air soufflé) avec distribution par fluide frigorigène","Installation de chauffage simple","PAC air/air sans réseau de distribution installée à partir de 2015 avec programmateur pièce par pièce (système individuel)",1937.7,63.7,,,"PAC air/air installée à partir de 2015","Électricité","chauffage","Electrique - PAC air/air sans réseau de distribution installée à partir de 2015",1937.7,,,,,,"Électricité",,,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (catégorie B ou 2 étoiles), contenance ballon 200 L",2056.2,1,88.7,"Non affecté",,,,"Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (catégorie B ou 2 étoiles)",200,,2056.2,,,,,,,,,,,,0,"PAC air/air installée à partir de 2015","Électricité","A partir de 2015","Refroidissement - Electrique - Pompe à chaleur (divisé) - type split",63.7,72.6,"pompe à chaleur",,,,,0,
"2314E3597620Q","2026-01-09","2023-08-14","2023-08-14","2023-10-24","2033-08-13",,"2314E3597554C","2P2X86NSNRWT","Reprise RNB",,,"DPE 3CL 2021 méthode logement",2.3,"dpe appartement généré à partir des données DPE immeuble","C","A","appartement",2010,"2006-2012","mixte (collectif-individuel)","individuel",2.5,12,3,1,"T2",0,801.1,72.4,,"Légère","inférieur à 400m","H1a","5 Allée Lucie Aubrac 14120 Mondeville","5","Allée Lucie Aubrac","Mondeville","14120","14437","14","28","14437_0521_00005",457868.01,6902564.74,0.56,"adresse non géocodée ban car aucune correspondance trouvée","1-3-5 5 allée Lucie Aubrac - Logement 022","1-3-5 5 allée Lucie Aubrac - Logement 02214120 Mondeville","Mondeville",14120,,"RDC",,,"1-Bâtiment 1143.01-8-ESI 1143.01.01.0022 RPLS 16252265",,,,,,,1256.8,252.2,90,67.6,92.5,0,280.6,474,"moyenne","très bonne",,,,"bonne","bonne",0.75,42745,15129.3,0,25797430,0,16743600,0,9158.4,126.5,5817.3,4954.7,0,55.7,0,4820.2,66.6,2529.2,2154.2,0,24.2,0,349.3,4.8,199.8,140,0,1.7,0,"Électricité",4707.7,2529.2,2154.2,966,447.9,381.4,141.7,0,140,,,,,,,,,,,,,,,,,,,,,853.5,447.9,381.4,0,136.7,0,"Électricité","Panneau rayonnant électrique NFC, NF** et NF***","installation individuelle","Panneau rayonnant NFC, NF** et NF***","Installation de chauffage simple","Emission n°1",3390.3,72.4,,,"Panneau rayonnant électrique NFC, NF** et NF***","Électricité","chauffage","Generateur Effet joule",3390.3,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles",,,"installation individuelle","Un seul système d'ECS sans solaire","ECS Electrique",2158,12,6,"Non affecté",,,,"Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles","Électricité","ecs",,200,,2158,"Avant 2010",,,,,,,,,"Ventilation par ouverture des fenêtres",72.4,0,,,,,,,,"Solaire Photovoltaïque",0,,,0,
"2692E0029561S","2026-01-06","2025-11-04","2026-01-06","2026-01-06","2036-01-05",,,,,,,"DPE 3CL 2021 méthode logement",2.6,"dpe appartement individuel","C","C","appartement",,"1989-2000","collectif","collectif",2.5,1,,1,,,21453,18.5,,"Lourde","inférieur à 400m","H1a","23 Rue Louis Pouey 92800 Puteaux","23","Rue Louis Pouey","Puteaux","92800","92062","92","11","92062_5172_00023",644049.33,6865570.72,0.6,"adresse géocodée ban à l'adresse","23 Rue Louis Pouey","23 Rue Louis Pouey 92800 PUTEAUX","PUTEAUX",92800,0,,,"01/IMO/1253/F.B","38ème étage","insuffisant",0,0,0,1,0,43.7,2.6,1.2,0,0,0,29.6,10.4,"moyenne","moyenne",,"très bonne",,"très bonne","insuffisante",0.66,1303.3,758.4,0,850.6,0,856.5,0,4071,220,1906.6,1532,0,66.3,566.1,3771.5,204,1906.6,1532,0,34.9,298,626.7,33,335.6,269.6,0,2.4,19.1,"Réseau de Chauffage urbain",3438.6,1906.6,1532,306.8,170.1,136.7,605.2,335.6,269.6,"Électricité",332.8,0,0,71.8,0,0,21.5,0,0,,,,,,,,,,,378.5,170.1,136.7,0,12.1,59.7,"Réseau de Chauffage urbain","Réseau de chaleur isolé","installation collective","Radiateur bitube sans robinet thermostatique sur réseau collectif eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","Réseau de chaleur vertueux isolé réseau isolé (système collectif). Emetteur(s): radiateur bitube sans robinet thermostatique",1906.6,18.5,,,"Réseau de chaleur isolé","Réseau de Chauffage urbain","chauffage + ecs","Réseau de chaleur isolé",1906.6,,,,,,,,,,,,,,,,,,,,,,,,"Réseau de Chauffage urbain","Réseau de chaleur isolé",,,"installation collective","Un seul système d'ECS sans solaire","Combiné au système de chauffage",1532,1,18.5,"Non affecté",,,,"Réseau de chaleur isolé","Réseau de Chauffage urbain","chauffage + ecs","Réseau de chaleur isolé",0,,1532,,,,,,,,,,,,0,,,,,,,"réseau de chaleur ou de froid vertueux",,,,,0,
"2650E0036638H","2026-01-07","2025-11-10","2026-01-07","2026-01-07","2036-01-06",,,"YYNY2SHR1A5D","Logiciel",,,"DPE 3CL 2021 méthode logement",2.6,"dpe maison individuelle","D","B","maison",,"1989-2000",,,2.5,,,1,,,,63.5,,"Moyenne","inférieur à 400m","H2a","6 Impasse de l'Aubépine 50590 Montmartin-sur-Mer","6","Impasse de l'Aubépine","Montmartin-sur-Mer","50590","50349","50","28","50349_0070_00006",369238.53,6885597.56,0.41,"adresse géocodée ban à l'adresse","6 IMPASSE DE L'AUBEPINE","6 IMPASSE DE L'AUBEPINE 50590 MONTMARTIN SUR MER","MONTMARTIN SUR MER",50590,0,,,"DPE-0219-01-0006-251110",,"moyen",1,1,0,0,1,171.4,10.9,32.2,7.3,31.6,11.8,18.5,59.2,"bonne","bonne",,"très bonne",,"insuffisante","moyenne",0.52,6424.2,1025.5,0,2060.6,0,1560.8,0,14521.8,228,10063.6,3647.5,0,228.1,582.5,7643.1,120,5296.6,1919.8,0,120.1,306.6,571.1,8,418.4,124.8,0,8.3,19.6,"Électricité",7643.1,5296.6,1919.8,1626.7,1127.3,408.6,571.1,418.4,124.8,,,,,,,,,,,,,,,,,,,,,1626.7,1127.3,408.6,0,25.6,65.3,"Électricité","Radiateur électrique à accumulation","installation individuelle","Radiateur électrique à accumulation","Installation de chauffage simple","Radiateur électrique à fluide caloporteur (modélisé comme un radiateur à accumulation) avec programmateur pièce par pièce (système individuel)",5296.6,63.5,,,"Radiateur électrique à accumulation","Électricité","chauffage","Electrique - Radiateur électrique à accumulation",5296.6,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (autres catégorie ou inconnue), contenance ballon 200 L",1919.8,1,63.5,"Non affecté",,,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (autres catégorie ou inconnue)",200,,1919.8,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2684E0024134R","2026-01-06","2025-12-09","2026-01-06","2026-01-06","2036-01-05","2584E3913541F","2684E0023804Z",,,,,"DPE 3CL 2021 méthode logement",2.6,"dpe appartement généré à partir des données DPE immeuble","C","C","appartement",,"1948-1974","collectif","collectif",2.5,37,5,1,,1,2585,75,,"Très lourde","inférieur à 400m","H2d",,,,,,,,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","STCHAMAND BAT B2 - ENTREE 25/26/27/28","STCHAMAND BAT B2 - ENTREE 25/26/27/28 84000 AVIGNON","AVIGNON",84000,0,,,"002EX061353","0175-006717",,,,,,,4734.7,514.6,903.9,81.6,666.2,0,968.1,1600.3,"moyenne","insuffisante",,,"très bonne","insuffisante","moyenne",0.8,108606.4,41503.8,0,57904.6,0,70601.8,0,8912.7,118,3572.4,4601.9,0,281.2,457.2,8562.9,114,3572.4,4601.9,0,148,240.6,1881.2,25,810.9,1044.6,0,10.2,15.4,"Réseau de Chauffage urbain",8174.3,3572.4,4601.9,729.2,318.7,410.5,1855.6,810.9,1044.6,"Électricité",388.6,0,0,102.3,0,0,25.6,0,0,,,,,,,,,,,831.5,318.7,410.5,0,51.4,50.9,"Réseau de Chauffage urbain","Chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur","installation collective multi-bâtiment : modélisée comme un réseau de chaleur","Radiateur bitube avec robinet thermostatique sur réseau collectif eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","Chaudière collective(s) gaz multi bâtiment modélisée comme un réseau de chaleur avec équipement d'intermittence central collectif. Emetteur(s): radiateur bitube avec robinet thermostatique",139466.6,2585,,,"Chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur","Réseau de Chauffage urbain","chauffage + ecs","Réseau de chaleur - Chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur",139466.6,,,,,,,,,,,,,,,,,,,,,,,,"Réseau de Chauffage urbain","Chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur",,,"installation collective","Un seul système d'ECS sans solaire","Combiné au système de chauffage",164697.5,1,2585,"Non affecté",,,,"Chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur","Réseau de Chauffage urbain","chauffage + ecs","Réseau de chaleur - Chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur",0,,164697.5,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2601E0050971R","2026-01-08","2025-12-11","2026-01-08","2026-01-08","2036-01-07",,,,,,,"DPE 3CL 2021 méthode logement",2.6,"dpe appartement individuel","D","D","appartement",1982,"1978-1982","individuel","individuel",2.5,,,1,,,,90,,"Légère","inférieur à 400m","H1c","22 Rue du Ban Thévenin 01800 Meximieux","22","Rue du Ban Thévenin","Meximieux","01800","01244","01","84","01244_0060_00022",870188.97,6536445.33,0.8,"adresse géocodée ban à l'adresse","22 rue du Ban Thévenin","22 rue du Ban Thévenin 01800 MEXIMIEUX","MEXIMIEUX",1800,4,,"Bâtiment Les Russoles",,,"moyen",1,1,0,0,1,191.6,15.1,80,12,0,0.7,14,69.8,"bonne","insuffisante",,"très bonne",,,"très bonne",0.58,7752.8,1395.6,0,2215818,0,1105890.8,0,15478.2,171.9,12034.4,2342.8,0,318,783,14956.7,166.2,12034.4,2342.8,0,167.4,412.1,3301.5,36.6,2731.8,531.8,0,11.5,26.4,"Gaz naturel",14377.2,12034.4,2342.8,1546,1294,252,3263.6,2731.8,531.8,"Électricité",579.5,0,0,201,0,0,37.9,0,0,,,,,,,,,,,1747,1294,252,0,58,143,"Gaz naturel","Chaudière gaz standard 2001-2015","installation individuelle","Radiateur bitube sans robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","Chauffage sans solaire",12034.4,90,,,"Chaudière gaz standard 2001-2015","Gaz naturel","chauffage + ecs","Chaudière standard",12034.4,,,,,,,,,,,,,,,,,,,,,,,,"Gaz naturel","Chaudière gaz standard 2001-2015",,,"installation individuelle","Un seul système d'ECS sans solaire","Chaudière standard Gaz naturel",2342.8,1,90,"Non affecté",,,,"Chaudière gaz standard 2001-2015","Gaz naturel","chauffage + ecs","Chaudière standard",0,,2342.8,,,,,,,,,,,,0,,,,,,,,,,,,0,
